EventOnScroll,MSecForDownArrow,TimeOnVScroll,relevant,NumOfPageUp,TimeOnMouse,NumOfPageDown,ClickOnWindow,log_id,serverTimeVisit,MSecForPageUp,MSecForUpArrow,NumOfUpArrow,classes,MSecForPageDown,RSS_ID,readability,TimeOnHScroll,novelty,user_like,DOC_ID,TimeOnPage,TimeVisit,user_id,NumOfDownArrow,authority
0,0,0,4,0,1455,0,0,2401,4/23/04 15:23,0,0,0,,0,2,1,0,5,4,279282,6109,4/23/04 15:23,51,0,1
0,0,0,4,0,9673,0,0,2405,4/23/04 15:25,0,0,0,,0,8,1,0,4,4,278354,68265,4/23/04 15:25,51,0,1
0,0,0,4,0,1424,0,0,2409,4/23/04 15:34,0,0,0,,0,8,1,0,5,4,276597,12610,4/23/04 15:34,51,0,1
0,0,0,4,0,876,0,0,2411,4/23/04 15:35,0,0,0,,0,6,1,0,4,4,278339,6641,4/23/04 15:35,51,0,1
0,0,0,5,0,4613,0,0,2412,4/23/04 15:37,0,0,0,,0,14,1,0,5,4,278386,77563,4/23/04 15:37,51,0,1
0,0,0,3,0,6782,0,0,2413,4/23/04 15:39,0,0,0,,0,10,1,0,5,5,278362,71563,4/23/04 15:39,51,0,1
0,0,0,5,0,8813,0,0,2414,4/23/04 15:39,0,0,0,,0,10,1,0,5,5,278362,159923,4/23/04 15:39,51,0,1
0,0,0,5,0,11485,0,2,3360,4/26/04 1:01,0,0,0,,0,2,1,0,5,4,281376,69078,4/26/04 1:01,51,0,1
0,0,0,5,0,1860,0,1,3361,4/26/04 1:06,0,0,0,|theatre,0,2,1,0,5,5,281377,157922,4/26/04 1:06,51,0,1
0,0,0,5,0,2922,0,0,3362,4/26/04 1:10,0,0,0,,0,2,1,0,5,4,281378,31094,4/26/04 1:10,51,0,1
0,0,0,5,0,11152,0,0,3363,4/26/04 1:14,0,0,0,,0,2,1,0,5,4,281379,95718,4/26/04 1:14,51,0,1
0,0,0,5,0,6262,0,0,3365,4/26/04 1:20,0,0,0,,0,2,1,0,5,5,281383,106548,4/26/04 1:20,51,0,1
0,0,0,5,0,4921,0,0,3368,4/26/04 1:30,0,0,0,,0,2,1,0,5,4,281380,48047,4/26/04 1:30,51,0,1
0,0,0,5,0,4265,0,0,3383,4/26/04 1:42,0,0,0,,0,3,1,0,5,4,281241,77016,4/26/04 1:42,51,0,1
0,0,0,5,0,4678,0,0,3385,4/26/04 1:43,0,0,0,,0,5,1,0,5,5,281400,38078,4/26/04 1:43,51,0,1
0,0,0,5,0,3827,0,1,3389,4/26/04 1:46,0,0,0,,0,5,1,0,5,4,280641,142718,4/26/04 1:46,51,0,1
0,0,0,5,0,5561,0,0,3391,4/26/04 1:47,0,0,0,,0,6,1,0,3,4,281402,38891,4/26/04 1:47,51,0,1
0,0,0,5,0,7157,0,0,3394,4/26/04 1:50,0,0,0,,0,8,1,0,5,4,281420,143391,4/26/04 1:50,51,0,1
0,0,0,5,0,6027,0,0,3398,4/26/04 1:55,0,0,0,|entertainment,0,8,1,0,5,4,281267,139452,4/26/04 1:55,51,0,1
0,0,0,5,0,751,0,0,3400,4/26/04 1:57,0,0,0,,0,8,1,0,4,3,281269,21656,4/26/04 1:57,51,0,1
0,0,0,2,0,562,0,3,4215,4/28/04 0:14,0,0,0,,0,2485,0,0,5,2,241812,16922,4/28/04 0:14,51,0,1
0,0,0,3,0,3796,0,5,4216,4/28/04 0:19,0,0,0,,0,2485,1,0,5,4,241827,125374,4/28/04 0:19,51,0,0
0,0,0,4,0,3696,0,3,4219,4/28/04 0:20,0,0,0,,0,2485,1,0,4,4,241830,28391,4/28/04 0:20,51,0,1
0,0,0,5,0,905,0,1,4223,4/28/04 0:23,0,0,0,,0,2,1,0,5,5,281490,56642,4/28/04 0:23,51,0,1
0,0,0,4,0,4891,0,0,4472,4/28/04 17:43,0,0,0,,0,943,1,0,5,3,288540,23344,4/28/04 17:43,51,0,1
0,0,0,4,0,1624,0,0,4474,4/28/04 17:45,0,0,0,,0,943,1,0,5,3,288554,6907,4/28/04 17:45,51,0,1
0,0,0,4,0,4204,0,0,4477,4/28/04 17:50,0,0,0,,0,8183,1,0,5,4,288833,92172,4/28/04 17:50,51,0,1
0,0,0,4,0,6419,0,0,6010,5/3/04 0:40,0,0,0,,0,8195,1,0,5,4,296380,77062,5/3/04 0:40,51,0,1
0,0,0,4,0,8445,0,1,6011,5/3/04 0:44,0,0,0,,0,8195,1,0,5,4,296381,46719,5/3/04 0:44,51,0,1
0,0,0,4,0,469,0,1,6012,5/3/04 0:47,0,0,0,,0,8195,1,0,5,4,296382,38124,5/3/04 0:47,51,0,1
0,0,0,5,0,2548,0,0,6013,5/3/04 0:47,0,0,0,,0,8195,1,0,5,4,296383,7485,5/3/04 0:47,51,0,1
0,0,0,4,0,2328,0,0,6014,5/3/04 0:53,0,0,0,,0,8195,1,0,5,4,296384,9296,5/3/04 0:53,51,0,1
0,0,0,4,0,4472,0,0,6015,5/3/04 0:54,0,0,0,,0,8195,1,0,5,5,296388,92484,5/3/04 0:54,51,0,1
0,0,0,4,0,1062,0,1,6016,5/3/04 1:01,0,0,0,,0,8199,1,0,5,3,294780,9592,5/3/04 1:01,51,0,1
0,0,0,4,0,0,0,0,6017,5/3/04 1:06,0,0,0,,0,8203,1,0,5,4,296270,593,5/3/04 1:06,51,0,1
0,0,0,4,0,31,0,1,6018,5/3/04 1:09,0,0,0,,0,8203,1,0,4,3,296271,22562,5/3/04 1:09,51,0,1
0,0,0,4,0,1329,0,1,6019,5/3/04 1:13,0,0,0,,0,8203,1,0,5,5,296272,133970,5/3/04 1:13,51,0,1
0,0,0,4,0,2471,0,1,6020,5/3/04 1:18,0,0,0,,0,8203,1,0,5,4,296273,26719,5/3/04 1:18,51,0,1
0,0,0,4,0,0,0,0,6021,5/3/04 1:19,0,0,0,,0,8203,1,0,5,4,296274,1110,5/3/04 1:19,51,0,1
0,0,0,3,0,2642,0,0,6022,5/3/04 1:19,0,0,0,,0,8203,1,0,5,3,296275,27391,5/3/04 1:19,51,0,1
0,0,0,3,0,4612,0,1,6023,5/3/04 1:20,0,0,0,,0,8203,1,0,5,3,296276,29377,5/3/04 1:20,51,0,1
0,0,0,4,0,750,0,0,6024,5/3/04 1:21,0,0,0,,0,8203,1,0,5,4,294542,22031,5/3/04 1:21,51,0,1
0,0,0,4,0,1512,0,0,6026,5/3/04 1:23,0,0,0,,0,8203,1,0,5,4,294543,14672,5/3/04 1:23,51,0,1
0,0,0,4,0,1532,0,0,6029,5/3/04 1:23,0,0,0,,0,8203,1,0,4,4,294544,23672,5/3/04 1:23,51,0,1
0,0,0,4,0,8722,0,2,6042,5/3/04 1:32,0,0,0,,0,8195,1,0,5,5,296408,140891,5/3/04 1:32,51,0,1
0,0,0,4,0,9744,0,0,6044,5/3/04 1:33,0,0,0,,0,8208,1,0,4,4,294632,75298,5/3/04 1:33,51,0,1
0,0,0,4,0,0,0,0,6046,5/3/04 1:33,0,0,0,,0,8195,1,0,5,4,296382,656,5/3/04 1:33,51,0,1
0,0,0,4,0,3909,0,0,6048,5/3/04 1:34,0,0,0,,0,8195,1,0,3,4,294838,32453,5/3/04 1:34,51,0,1
0,0,0,4,0,702,0,2,6051,5/3/04 1:36,0,0,0,,0,8195,1,0,5,3,294842,46875,5/3/04 1:36,51,0,1
0,0,0,4,0,11199,0,2,6053,5/3/04 1:38,0,0,0,,0,8173,1,0,5,3,292467,42767,5/3/04 1:38,51,0,1
0,0,0,4,0,6238,0,0,6055,5/3/04 1:38,0,0,0,,0,8173,1,0,5,4,292466,28938,5/3/04 1:38,51,0,1
0,0,0,4,0,13219,0,0,6058,5/3/04 1:39,0,0,0,,0,8173,1,0,5,4,289229,45048,5/3/04 1:39,51,0,1
0,0,0,4,0,829,0,0,6060,5/3/04 1:41,0,0,0,,0,8,1,0,5,4,289119,1454,5/3/04 1:41,51,0,1
0,0,0,4,0,8014,0,0,6062,5/3/04 1:41,0,0,0,,0,8156,1,0,3,4,288405,33375,5/3/04 1:41,51,0,1
0,0,0,4,0,1591,0,0,6067,5/3/04 1:43,0,0,0,,0,8184,1,0,4,5,288849,97500,5/3/04 1:43,51,0,1
0,0,0,4,0,7851,0,1,6070,5/3/04 1:44,0,0,0,,0,8173,1,0,5,4,288152,46766,5/3/04 1:44,51,0,1
0,0,0,4,0,4369,0,1,6713,5/4/04 11:03,0,0,0,|news|movies|broadway|music,0,3616,1,0,5,4,297340,96687,5/4/04 11:03,51,0,1
0,0,0,4,0,0,0,0,6714,5/4/04 11:04,0,0,0,|broadway,0,8173,1,0,1,4,289228,501,5/4/04 11:04,51,0,1
0,0,0,4,0,1485,0,0,6715,5/4/04 11:07,0,0,0,,0,8,1,0,5,4,300363,53281,5/4/04 11:07,51,0,1
0,0,0,4,0,31,0,0,6716,5/4/04 11:07,0,0,0,,0,8,1,0,5,4,300361,765,5/4/04 11:07,51,0,1
0,0,0,4,0,1874,0,0,6717,5/4/04 11:09,0,0,0,,0,8,1,0,5,2,300362,70141,5/4/04 11:09,51,0,1
0,0,0,4,0,2417,0,0,6718,5/4/04 11:11,0,0,0,,0,8,1,0,5,3,300360,107282,5/4/04 11:11,51,0,1
0,0,0,4,0,2045,0,2,6719,5/4/04 11:11,0,0,0,,0,8,1,0,5,4,300366,36703,5/4/04 11:11,51,0,1
0,0,0,4,0,4888,0,0,6720,5/4/04 11:15,0,0,0,|movies|music,0,8,1,0,5,5,300365,182391,5/4/04 11:15,51,0,1
0,0,0,3,0,1092,0,0,6721,5/4/04 11:16,0,0,0,,0,8,1,0,5,4,300359,42140,5/4/04 11:16,51,0,1
0,0,0,4,0,296,0,0,6722,5/4/04 11:17,0,0,0,,0,8,1,0,5,4,299834,1000,5/4/04 11:17,51,0,1
0,0,0,4,0,3187,0,0,6724,5/4/04 11:19,0,0,0,,0,8,1,0,5,4,298864,99094,5/4/04 11:19,51,0,1
0,0,0,4,0,250,0,1,6725,5/4/04 11:21,0,0,0,|movies,0,8,1,0,5,4,298853,54844,5/4/04 11:21,51,0,1
0,0,0,3,0,187,0,1,6726,5/4/04 11:23,0,0,0,|television,0,8,1,0,5,4,298851,22890,5/4/04 11:23,51,0,-1
0,0,0,5,0,9848,0,6,6728,5/4/04 11:30,0,0,0,|broadway,0,8,1,0,5,5,297733,343782,5/4/04 11:30,51,0,1
0,0,0,5,0,10979,0,0,6729,5/4/04 11:32,0,0,0,|news,0,8,1,0,5,4,292880,89906,5/4/04 11:32,51,0,1
0,0,0,4,0,563,0,0,6731,5/4/04 11:33,0,0,0,|television,0,8,1,0,5,4,292646,1891,5/4/04 11:33,51,0,1
